Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
HOMER,tmc2007-5x2x1,0.0613,0.0006,0.6014,0.0044,0.7342,0.0030,0.7349,0.0089,0.7615,0.0019,0.3288,0.0032,0.5988,0.0100,0.6343,0.0083,0.5759,0.0129,0.6976,0.0050,0.6943,0.0031,0.7010,0.0099,0.2764,0.0072,6.7070,0.4749,0.1570,0.0151,0.7183,0.0112
HOMER,tmc2007-5x2x2,0.0606,0.0008,0.6044,0.0032,0.7412,0.0072,0.7314,0.0043,0.7668,0.0017,0.3358,0.0043,0.5948,0.0072,0.6327,0.0128,0.5705,0.0085,0.6988,0.0032,0.7010,0.0079,0.6967,0.0055,0.2756,0.0054,6.8086,0.1499,0.1603,0.0043,0.7154,0.0022
IBLR-ML,tmc2007-5x2x1,0.0646,0.0008,0.5328,0.0030,0.7306,0.0057,0.6221,0.0038,0.7417,0.0027,0.2631,0.0048,0.4684,0.0079,0.6828,0.0076,0.3832,0.0068,0.6456,0.0036,0.7235,0.0046,0.5828,0.0031,0.2291,0.0032,3.0387,0.0163,0.0555,0.0007,0.7968,0.0019
IBLR-ML,tmc2007-5x2x2,0.0647,0.0005,0.5315,0.0025,0.7313,0.0057,0.6188,0.0029,0.7424,0.0012,0.2659,0.0005,0.4651,0.0049,0.6845,0.0064,0.3799,0.0052,0.6439,0.0020,0.7240,0.0053,0.5798,0.0026,0.2305,0.0044,3.0692,0.0398,0.0562,0.0005,0.7954,0.0018
LP-J48,tmc2007-5x2x1,0.0736,0.0009,0.5612,0.0054,0.6703,0.0039,0.6599,0.0052,0.7560,0.0046,0.3631,0.0068,0.5192,0.0080,0.5320,0.0103,0.5094,0.0071,0.6317,0.0057,0.6378,0.0056,0.6256,0.0060,0.4874,0.0041,10.2067,0.1246,0.3325,0.0043,0.5402,0.0027
LP-J48,tmc2007-5x2x2,0.0727,0.0004,0.5667,0.0036,0.6752,0.0061,0.6657,0.0030,0.7580,0.0017,0.3680,0.0047,0.5230,0.0076,0.5373,0.0091,0.5111,0.0074,0.6360,0.0032,0.6422,0.0061,0.6300,0.0046,0.4881,0.0056,10.2562,0.0504,0.3334,0.0010,0.5388,0.0025
RAkEL-BR,tmc2007-5x2x1,0.0569,0.0008,0.6031,0.0041,0.7655,0.0055,0.7090,0.0045,0.7736,0.0023,0.3356,0.0038,0.5994,0.0098,0.6873,0.0064,0.5464,0.0093,0.7056,0.0045,0.7382,0.0057,0.6758,0.0041,0.2527,0.0066,7.7241,0.0350,0.1869,0.0012,0.7046,0.0040
RAkEL-BR,tmc2007-5x2x2,0.0566,0.0003,0.6057,0.0039,0.7695,0.0054,0.7122,0.0030,0.7725,0.0008,0.3358,0.0034,0.6036,0.0076,0.6880,0.0106,0.5514,0.0069,0.7070,0.0027,0.7399,0.0048,0.6769,0.0023,0.2478,0.0090,7.7286,0.0246,0.1856,0.0016,0.7072,0.0037
BR-J48,bibtex-5x2x1,0.0148,0.0004,0.3013,0.0122,0.5771,0.0171,0.3664,0.0124,0.6375,0.0098,0.1389,0.0119,0.3383,0.0096,0.3788,0.0117,0.2434,0.0057,0.4020,0.0112,0.5188,0.0171,0.3283,0.0100,0.5049,0.0211,48.6702,1.9320,0.1641,0.0084,0.4759,0.0146
BR-J48,bibtex-5x2x2,0.0147,0.0002,0.2990,0.0079,0.5769,0.0170,0.3649,0.0091,0.6392,0.0040,0.1347,0.0086,0.3353,0.0060,0.3859,0.0067,0.2438,0.0077,0.4022,0.0073,0.5219,0.0133,0.3273,0.0078,0.5071,0.0134,48.6091,1.5965,0.1629,0.0075,0.4734,0.0116
CLR,bibtex-5x2x1,0.0127,0.0004,0.2339,0.0102,0.8269,0.0138,0.2476,0.0101,0.6711,0.0077,0.1218,0.0091,0.3444,0.0045,0.6660,0.0218,0.1379,0.0035,0.3388,0.0128,0.7874,0.0168,0.2159,0.0094,0.4128,0.0211,18.4408,1.0756,0.0617,0.0043,0.5647,0.0177
CLR,bibtex-5x2x2,0.0128,0.0002,0.2293,0.0092,0.8266,0.0079,0.2448,0.0093,0.6692,0.0042,0.1186,0.0069,0.3240,0.0091,0.6666,0.0120,0.1360,0.0047,0.3354,0.0071,0.7829,0.0067,0.2134,0.0056,0.4092,0.0067,18.6380,0.3997,0.0623,0.0014,0.5623,0.0067
HOMER,bibtex-5x2x1,0.0185,0.0007,0.2717,0.0123,0.4671,0.0166,0.3703,0.0143,0.5906,0.0124,0.1159,0.0114,0.3062,0.0072,0.2809,0.0108,0.2523,0.0097,0.3571,0.0106,0.3769,0.0103,0.3394,0.0118,0.6127,0.0186,78.9160,0.9769,0.3264,0.0070,0.3338,0.0122
